Activity type,Duration,From,To,Comment
Classwork,0.4,Mar 24 12:42 am,Mar 24 01:07 am,
Classwork,0.0,Mar 24 12:41 am,Mar 24 12:41 am,
Classwork,0.8,Mar 23 11:49 pm,Mar 24 12:37 am,
Classwork,1.2,Mar 23 10:22 pm,Mar 23 11:37 pm,
Classwork,3.7,Mar 23 09:46 pm,Mar 24 01:25 am,
Classwork,0.6,Mar 23 09:46 pm,Mar 23 10:20 pm,
Related Housekeeping ,0.0,Mar 23 09:45 pm,Mar 23 09:46 pm,
Related Housekeeping ,0.2,Mar 23 09:30 pm,Mar 23 09:40 pm,
Classwork,0.0,Mar 23 09:29 pm,Mar 23 09:30 pm,
Sleep,1.2,Mar 23 08:00 pm,Mar 23 09:14 pm,
Classwork,0.1,Mar 23 07:26 pm,Mar 23 07:34 pm,
Classwork,0.1,Mar 23 07:04 pm,Mar 23 07:12 pm,
Gaming,1.0,Mar 23 03:31 pm,Mar 23 04:28 pm,
Classwork,0.4,Mar 23 02:40 pm,Mar 23 03:05 pm,
Classwork,0.5,Mar 23 11:23 am,Mar 23 11:51 am,
Eat,0.1,Mar 23 11:00 am,Mar 23 11:08 am,
Eat,0.2,Mar 23 10:43 am,Mar 23 10:54 am,
Classwork,0.6,Mar 23 10:04 am,Mar 23 10:41 am,
Gaming,1.6,Mar 23 12:03 am,Mar 23 01:40 am,
GRE,0.4,Mar 22 11:20 pm,Mar 22 11:44 pm,
Classwork,2.2,Mar 22 09:01 pm,Mar 22 11:13 pm,
Classwork,0.5,Mar 22 08:15 pm,Mar 22 08:48 pm,
Gaming,1.7,Mar 22 05:59 pm,Mar 22 07:39 pm,
Eat,1.6,Mar 22 05:15 pm,Mar 22 06:48 pm,
Classwork,0.7,Mar 22 01:01 pm,Mar 22 01:45 pm,
Classwork,0.5,Mar 22 08:38 am,Mar 22 09:09 am,
GRE,0.2,Mar 22 12:25 am,Mar 22 12:36 am,
GRE,0.5,Mar 21 11:48 pm,Mar 22 12:16 am,
GRE,0.0,Mar 21 11:28 pm,Mar 21 11:30 pm,
Coding,0.0,Mar 21 11:28 pm,Mar 21 11:28 pm,
Classwork,0.0,Mar 21 11:28 pm,Mar 21 11:28 pm,
GRE,0.0,Mar 21 11:28 pm,Mar 21 11:28 pm,
GRE,0.1,Mar 21 11:19 pm,Mar 21 11:27 pm,
Classwork,1.5,Mar 21 09:41 pm,Mar 21 11:11 pm,
Classwork,0.1,Mar 21 09:31 pm,Mar 21 09:36 pm,
Classwork,0.0,Mar 21 09:30 pm,Mar 21 09:30 pm,
Coding,0.5,Mar 21 08:46 pm,Mar 21 09:18 pm,
Classwork,0.6,Mar 21 08:12 pm,Mar 21 08:46 pm,
Activity type,Duration,Percent
Study,25.2,13.1
Computer ,19.5,10.2
Sleep,17.2,8.9
Eat,9.7,5.1
For Others ,3.7,2.0
Read,2.1,1.1
Entertainment,1.2,0.6
Eat+Computer ,0.8,0.4
Shower,0.7,0.3
Sport,0.4,0.2
Other,111.4,58.0
Total,192.0
